LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,SalePrice
8450,7,5,2003,856,1710,2,548,208500
9600,6,8,1976,1262,1262,2,460,181500
11250,7,5,2001,920,1786,2,608,223500
9550,7,5,1915,756,1717,3,642,140000
14260,8,5,2000,1145,2198,3,836,250000
14115,5,5,1993,796,1362,2,480,143000
10084,8,5,2004,1686,1694,2,636,307000
10382,7,6,1973,1107,2090,2,484,200000
6120,7,5,1931,952,1774,2,468,129900
7420,5,6,1939,991,1077,1,205,118000
11200,5,5,1965,1040,1040,1,384,129500
11924,9,5,2005,1175,2324,3,736,345000
12968,5,6,1962,912,912,1,352,144000
10652,7,5,2006,1494,1494,3,840,279500
10920,6,5,1960,1253,1253,1,352,157000
6120,7,8,1929,832,854,2,576,132000
11241,6,7,1970,1004,1004,2,480,149000
10791,4,5,1967,0,1296,2,516,90000
13695,5,5,2004,1114,1114,2,576,159000
7560,5,6,1958,1029,1339,1,294,139000
14215,8,5,2005,1158,2376,3,853,325300
7449,7,7,1930,637,1108,1,280,139400
9742,8,5,2002,1777,1795,2,534,230000
4224,5,7,1976,1040,1060,2,572,129900
8246,5,8,1968,1060,1060,1,270,154000
14230,8,5,2007,1566,1600,3,890,256300
7200,5,7,1951,900,900,2,576,134800
11478,8,5,2007,1704,1704,3,772,306000
16321,5,6,1957,1484,1600,1,319,207500
6324,4,6,1927,520,520,1,240,68500
8500,4,4,1920,649,1317,1,250,40000
8544,5,6,1966,1228,1228,1,271,149350
11049,8,5,2007,1234,1234,2,484,179900
10552,5,5,1959,1398,1700,2,447,165500
7313,9,5,2005,1561,1561,2,556,277500
13418,8,5,2004,1117,2452,3,691,309000
10859,5,5,1994,1097,1097,2,672,145000
8532,5,6,1954,1297,1297,2,498,153000
7922,5,7,1953,1057,1057,1,246,109000
6040,4,5,1955,0,1152,0,0,82000
8658,6,5,1965,1088,1324,2,440,160000
16905,5,6,1959,1350,1328,1,308,170000
9180,5,7,1983,840,884,2,504,144000
9200,5,6,1975,938,938,1,308,130250
7945,5,6,1959,1150,1150,1,300,141000
7658,9,5,2005,1752,1752,2,576,319900
12822,7,5,2003,1434,2149,2,670,239686
11096,8,5,2006,1656,1656,3,826,249700
4456,4,5,1920,736,1452,0,0,113000
7742,5,7,1966,955,955,1,386,127000
13869,6,6,1997,794,1470,2,388,177000
6240,6,6,1934,816,1176,2,528,114500
8472,5,5,1963,816,816,2,516,110000
50271,9,5,1981,1842,1842,3,894,385000
7134,5,5,1955,384,1360,2,572,130000
10175,6,5,1964,1425,1425,2,576,180500
2645,8,5,1999,970,1739,2,480,172500
11645,7,5,2004,860,1720,2,565,196500
13682,10,5,2006,1410,2945,3,641,438780
7200,5,7,1972,780,780,1,352,124900
13072,6,5,2004,1158,1158,2,576,158000
7200,5,7,1920,530,1111,1,288,101000
6442,8,5,2006,1370,1370,2,484,202500
10300,7,6,1921,576,1710,2,480,140000
9375,7,5,1997,1057,2034,2,645,219500
9591,8,5,2004,1143,2473,3,852,317000
19900,7,5,1970,1947,2207,2,576,180000
10665,7,5,2003,1453,1479,2,558,226000
4608,4,6,1945,747,747,1,220,80000
15593,7,4,1953,1304,2287,2,667,225000
13651,7,6,1973,2223,2223,2,516,244000
7599,4,6,1982,845,845,2,360,129500
10141,7,5,1998,832,1718,2,427,185000
10200,5,7,1954,1086,1086,2,490,144900
5790,3,6,1915,840,1605,1,379,107400
1596,4,5,1973,462,988,1,297,91000
8475,4,7,1956,952,952,1,283,135750
8635,5,5,1948,672,1285,1,240,127000
10778,4,5,1968,1768,1768,0,0,136500
10440,5,6,1910,440,1230,2,440,110000
13000,6,6,1968,896,2142,1,509,193500
4500,6,5,1998,1237,1337,2,405,153500
10206,8,5,2007,1563,1563,3,758,245000
8892,5,5,1960,1065,1065,2,461,126500
8530,7,5,1995,384,1474,2,400,168500
16059,8,5,1991,1288,2417,2,462,260000
11911,6,5,2005,684,1560,2,400,174000
3951,6,5,2009,612,1224,2,528,164500
8470,3,2,1915,1013,1526,0,0,85000
8070,4,5,1994,990,990,0,0,123600
7200,4,5,1950,0,1040,2,420,109900
8500,5,3,1961,1235,1235,2,480,98600
13360,5,7,1921,876,964,2,432,163500
7200,6,6,1910,1214,2291,2,506,133900
9337,6,5,1997,824,1786,2,684,204750
9765,6,8,1993,680,1470,2,420,185000
10264,7,5,1999,1588,1588,2,472,214000
10921,4,5,1965,960,960,1,432,94750
10625,5,5,1920,458,835,1,366,83000
9320,4,5,1959,950,1225,0,0,128950
10603,6,7,1977,1610,1610,2,480,205000
9206,6,5,1985,741,1732,2,476,178000
7018,5,5,1979,0,1535,2,410,118964
10402,7,5,2009,1226,1226,3,740,198900
7758,7,4,1931,1040,1818,1,240,169500
9375,8,5,2003,1053,1992,2,648,250000
10800,4,7,1885,641,1047,1,273,100000
6000,5,5,1948,789,789,1,250,115000
8500,5,7,1919,793,1517,0,0,115000
11751,6,6,1977,1844,1844,2,546,190000
9525,6,4,1954,994,1855,1,325,136900
7750,7,5,2000,384,1430,2,400,180000
9965,7,5,2007,1264,2696,3,792,383970
21000,6,5,1953,1809,2259,2,450,217000
7259,6,8,1945,1028,2320,1,180,259500
3230,6,5,1999,729,1458,2,440,176000
11616,5,5,1962,1092,1092,1,288,139000
8536,5,5,2006,1125,1125,2,430,155000
12376,7,5,1990,1673,3222,3,594,320000
8461,6,5,2005,728,1456,2,390,163990
21453,6,5,1969,938,988,2,540,180000
6060,4,5,1939,732,1123,1,264,100000
9464,6,7,1958,1080,1080,1,288,136000
7892,6,5,1993,1199,1199,2,530,153900
17043,6,5,1979,1362,1586,2,435,181000
6780,6,8,1935,520,754,0,0,84500
4928,6,5,1976,1078,958,2,440,128000
4388,5,7,1930,672,840,0,0,87000
7590,6,5,1966,660,1348,2,453,155000
8973,5,7,1958,1008,1053,2,750,150000
14200,7,6,1966,924,2157,2,487,226000
12224,6,5,2000,992,2054,2,390,244000
7388,5,6,1959,1063,1327,2,624,150750
6853,8,5,2001,1267,1296,2,471,220000
10335,5,6,1968,1461,1721,2,440,180000
10400,7,6,1970,1304,1682,2,530,174000
10355,5,5,1967,1214,1214,1,318,143000
11070,7,5,1988,1907,1959,3,766,171000
9066,8,5,1999,1004,1852,3,660,230000
15426,6,5,1997,928,1764,2,470,231500
10500,4,5,1971,864,864,0,0,115000
11645,7,5,2005,1734,1734,2,660,260000
8520,5,4,1952,910,1385,2,720,166000
10335,7,5,1999,1490,1501,2,577,204000
9100,5,5,1963,1728,1728,2,504,125000
2522,6,5,2004,970,1709,2,380,130000
6120,5,7,1931,715,875,1,180,105000
9505,7,5,2001,884,2035,2,434,222500
7500,7,5,2004,1080,1080,0,0,141000
6240,5,4,1936,896,1344,1,240,115000
10356,5,6,1975,969,969,2,440,122000
13891,8,5,2007,1710,1710,3,866,372402
14803,6,5,1971,825,1993,2,495,190000
13500,6,7,1960,1602,1252,2,564,235000
11340,6,5,1923,1200,1200,1,312,125000
9600,6,5,1924,572,1096,0,0,79000
7200,5,7,1950,0,1040,2,625,109500
12003,8,5,2009,774,1968,3,680,269500
12552,7,5,2004,991,1947,2,678,254900
19378,7,5,2005,1392,2462,2,576,320000
11120,6,6,1984,1232,1232,2,516,162500
13688,9,5,2003,1572,2668,3,726,412500
12182,7,5,2005,1541,1541,2,532,220000
5500,4,6,1956,882,882,0,0,103200
5400,6,7,1926,1149,1616,1,216,152000
10106,5,7,1940,644,1355,0,0,127500
10708,5,5,1955,1617,1867,1,303,190000
10562,8,5,2007,1582,2161,3,789,325624
8244,7,5,2004,840,1720,2,440,183500
16669,8,6,1981,1686,1707,2,511,228000
12358,5,6,1941,720,1382,2,660,128500
31770,6,5,1960,1080,1656,2,528,215000
5306,7,7,1987,1064,1767,2,504,239000
10197,6,5,1961,1362,1362,2,504,163000
12416,6,5,1986,1606,1651,2,616,184000
12615,6,7,1950,1202,2158,2,576,243000
10029,6,5,1988,1151,2060,2,521,211000
13650,5,5,1958,1052,1920,2,451,172500
17423,9,5,2008,2216,2234,3,1166,501837
8520,5,6,1923,968,968,2,480,100000
2117,6,5,2000,756,1525,2,440,177000
7588,7,6,1920,793,1802,1,216,200100
9060,5,6,1957,0,1340,1,252,120000
11426,7,5,2003,1362,2082,2,484,200000
7438,5,8,1908,504,1252,2,576,127000
22950,10,9,1892,1107,3608,3,840,475000
9947,7,5,1990,1188,1217,2,497,173000
10410,5,7,1916,660,1656,1,180,135000
7018,5,5,1979,1086,1224,2,528,153337
4923,8,5,2001,1593,1593,2,682,286000
10570,8,8,1932,853,2727,2,440,315000
7472,7,9,1972,725,1479,2,484,184000
9017,7,5,1999,1431,1431,2,666,192000
2522,7,5,2004,970,1709,2,380,130000
7180,5,7,1972,864,864,1,352,127000
2280,6,6,1976,855,1456,2,440,148500
9416,7,5,2007,1726,1726,3,786,311872
25419,8,4,1918,1360,3112,2,795,235000
5520,6,6,1912,755,2229,0,0,104000
9591,8,5,2004,1713,1713,3,856,274900
8546,4,5,2003,1121,1121,2,440,140000
10125,6,6,1977,1196,1279,2,473,171500
7000,6,6,1924,617,1310,1,398,112000
4438,6,5,2004,848,848,2,420,149000
3500,5,7,1947,720,1284,1,240,110000
11851,7,5,1990,1424,1442,2,500,180500
13673,5,5,1962,1140,1696,1,349,143900
